,id,name,age,salary,score,department
0,1,user_1,56.0,59545.0,17.5,마케팅
1,2,user_2,46.0,36399.0,98.22,영업
2,3,user_3,32.0,57141.0,51.66,개발
3,4,user_4,60.0,69555.0,26.08,재무
4,5,user_5,25.0,53174.0,99.63,개발
5,6,user_6,41.0,58956.0,96.54,개발
6,7,user_7,86.625,50703.0,92.4,영업
7,8,user_8,36.0,48320.0,88.26,인사
8,9,user_9,40.0,72034.0,58.08,개발
9,10,user_10,28.0,33142.0,27.89,마케팅
10,11,user_11,28.0,64250.0,70.04,인사
11,12,user_12,41.0,75898.0,84.67,재무
12,13,user_13,53.0,56868.0,62.56,영업
13,14,user_14,57.0,24736.0,40.45,재무
14,15,user_15,41.0,54903.0,88.78,인사
15,16,user_16,20.0,48783.0,91.17,인사
16,17,user_17,39.0,57017.0,93.56,인사
17,18,user_18,86.625,61042.0,78.53,재무
18,19,user_19,41.0,38304.0,66.9,인사
19,20,user_20,61.0,37342.0,58.07,재무
20,21,user_21,47.0,47742.0,37.23,인사
21,22,user_22,55.0,50703.0,94.01,마케팅
22,23,user_23,19.0,52257.0,97.37,인사
23,24,user_24,38.0,48299.0,28.39,재무
24,25,user_25,50.0,89503.0,30.54,개발
25,26,user_26,29.0,34624.0,48.56,인사
26,27,user_27,39.0,38269.0,44.84,개발
27,28,user_28,61.0,56359.0,99.45,마케팅
28,29,user_29,42.0,63091.0,17.59,영업
29,30,user_30,44.0,50703.0,1.81,마케팅
30,31,user_31,59.0,74344.0,49.39,인사
31,32,user_32,45.0,62356.0,17.88,개발
32,33,user_33,33.0,54396.0,36.65,개발
33,34,user_34,32.0,63449.0,74.42,재무
34,35,user_35,-2.375,40845.0,72.09,개발
35,36,user_36,61.0,45258.0,63.17,재무
36,37,user_37,20.0,92652.0,54.25,영업
37,38,user_38,54.0,46567.0,50.88,인사
38,39,user_39,24.0,64440.0,63.63,재무
39,40,user_40,38.0,46855.0,25.05,영업
40,41,user_41,26.0,38389.0,32.92,개발
41,42,user_42,56.0,44603.0,40.8,개발
42,43,user_43,35.0,60861.0,48.67,영업
43,44,user_44,21.0,46164.0,90.61,개발
44,45,user_45,42.0,62749.0,43.44,영업
45,46,user_46,31.0,30330.0,35.01,재무
46,47,user_47,26.0,36945.0,64.51,재무
47,48,user_48,43.0,42400.0,66.89,
48,49,user_49,19.0,30351.0,86.42,재무
49,50,user_50,37.0,92652.0,23.02,재무
50,51,user_51,45.0,33556.0,49.92,재무
51,52,user_52,64.0,63723.0,57.2,마케팅
52,53,user_53,24.0,40009.0,76.86,인사
53,54,user_54,61.0,42293.0,4.36,개발
54,55,user_55,25.0,54520.0,99.46,
55,56,user_56,64.0,28122.0,46.99,재무
56,57,user_57,52.0,40059.0,27.96,영업
57,58,user_58,31.0,47803.0,88.35,재무
58,59,user_59,34.0,50703.0,74.77,인사
59,60,user_60,53.0,37663.0,53.92,재무
60,61,user_61,57.0,66301.0,33.08,영업
61,62,user_62,21.0,65075.0,55.28,인사
62,63,user_63,19.0,43374.0,57.23,
63,64,user_64,23.0,48738.0,98.03,인사
64,65,user_65,59.0,8410.0,7.53,개발
65,66,user_66,41.0,28603.0,13.31,개발
66,67,user_67,46.0,55070.0,19.09,재무
67,68,user_68,35.0,79619.0,26.85,인사
68,69,user_69,43.0,50703.0,48.53,영업
69,70,user_70,61.0,20901.0,37.27,재무
70,71,user_71,51.0,38561.0,39.47,개발
71,72,user_72,27.0,52530.0,84.42,개발
72,73,user_73,53.0,50703.0,93.0,재무
73,74,user_74,31.0,39976.0,7.04,인사
74,75,user_75,48.0,47941.0,20.89,개발
75,76,user_76,32.0,71020.0,67.11,인사
76,77,user_77,86.625,49319.0,35.86,개발
77,78,user_78,31.0,53254.0,25.42,개발
78,79,user_79,40.0,57686.0,29.53,마케팅
79,80,user_80,57.0,58152.0,32.26,개발
80,81,user_81,38.0,50421.0,22.96,영업
81,82,user_82,41.0,32044.0,13.66,재무
82,83,user_83,62.0,61845.0,70.89,재무
83,84,user_84,41.0,56472.0,55.28,인사
84,85,user_85,41.0,33549.0,29.65,개발
85,86,user_86,41.0,92652.0,41.98,영업
86,87,user_87,43.0,63313.0,25.62,인사
87,88,user_88,42.0,59082.0,61.15,마케팅
88,89,user_89,62.0,39196.0,8.16,인사
89,90,user_90,58.0,45951.0,0.52,인사
90,91,user_91,46.0,47848.0,62.79,개발
91,92,user_92,32.0,59255.0,19.43,마케팅
92,93,user_93,62.0,92652.0,7.09,인사
93,94,user_94,18.0,50985.0,39.68,영업
94,95,user_95,42.0,67538.0,5.08,영업
95,96,user_96,24.0,63100.0,88.66,재무
96,97,user_97,26.0,8410.0,2.76,마케팅
97,98,user_98,41.0,28348.0,57.89,마케팅
98,99,user_99,18.0,34584.0,43.85,재무
99,100,user_100,61.0,61119.0,67.2,인사
100,81,user_81,38.0,50421.0,83.71,영업
