"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-04-04 ~ 2026-04-03"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 강남구 역삼동","720-25","0720","0025","대우디오빌","30.0300","202603","31","27,000","-","17","개인","개인","2002","언주로 427","-","직거래","-","-"
"2","서울특별시 강남구 도곡동","543-7","0543","0007","도곡1차아이파크","130.2590","202603","31","330,000","-","20","개인","개인","2007","도곡로28길 8","-","중개거래","서울 강남구","-"
"3","서울특별시 강남구 도곡동","952","0952","0000","대우디오빌","31.8100","202603","28","28,500","-","5","개인","개인","2004","강남대로 256","-","중개거래","경기 양평군","-"
"4","서울특별시 강남구 청담동","42","0042","0000","삼성청담아파트","59.9900","202603","28","210,000","-","4","개인","개인","1999","학동로 405","-","중개거래","서울 강남구","-"
"5","서울특별시 강남구 수서동","736","0736","0000","신동아","49.9600","202603","27","190,000","-","12","개인","개인","1992","광평로47길 17","-","중개거래","서울 강남구, 서울 강동구","-"
"6","서울특별시 강남구 청담동","23","0023","0000","현대아파트","84.7600","202603","27","180,000","-","11","개인","개인","1988","선릉로 748","-","직거래","-","-"
"7","서울특별시 강남구 청담동","134-38","0134","0038","청담자이","89.3560","202603","26","447,500","-","28","개인","개인","2011","영동대로138길 12","-","중개거래","서울 강남구","-"
"8","서울특별시 강남구 도곡동","963","0963","0000","럭키(963)","124.1000","202603","25","310,000","-","8","개인","개인","1995","논현로 213","-","중개거래","서울 강남구","-"
"9","서울특별시 강남구 일원동","718","0718","0000","샘터마을","101.9700","202603","25","270,000","-","12","개인","개인","1994","일원로 120","-","중개거래","서울 강남구","-"
"10","서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","49.9090","202603","24","240,000","-","10","개인","개인","2019","선릉로 8","-","중개거래","서울 강남구","-"
