,연도,동명,부과건수,견인건수,단속원금(원),데이터기준일자
0,2017,개포동,9409,284,376360000,2022-02-07
1,2017,논현동,71771,2054,2870840000,2022-02-07
2,2017,대치동,55222,2624,2208880000,2022-02-07
3,2017,도곡동,10763,130,430520000,2022-02-07
4,2017,삼성동,36472,1507,1458880000,2022-02-07
5,2017,세곡동,8006,39,320240000,2022-02-07
6,2017,수서동,9786,434,391440000,2022-02-07
7,2017,신사동,52528,610,2101120000,2022-02-07
8,2017,압구정동,6561,350,262440000,2022-02-07
9,2017,역삼동,90385,4214,3615400000,2022-02-07
10,2017,일원동,8507,220,340280000,2022-02-07
11,2017,자곡동,6180,200,247200000,2022-02-07
12,2017,청담동,39243,426,1569720000,2022-02-07
